ID,X,Y
ahwac            ,-0.744696918,0.121009832
ai-categorizer   ,0.286268389,0.276681039
ai-horus         ,0.309548799,-0.160688227
ai-standards     ,-0.556887942,-0.29747362
ai4games         ,-0.558661897,-0.312665935
aiakos           ,0.273627015,0.124124365
aiapps           ,0.065964506,0.288574973
aiarena          ,-0.020462387,-0.321488821
aibot            ,-0.631392118,-0.158833433
aibots           ,-0.183800157,-0.712767537
aid-n            ,-0.191982591,0.634275129
aidas            ,-0.314625292,0.499607245
aigaion          ,-0.12496189,0.62473689
aigle            ,0.203220198,-0.533460793
aikernel         ,0.365294045,-0.159139769
aiksaurus        ,-0.213471899,-0.08920666
ailib            ,-0.327713111,-0.68266295
ailoom           ,0.437157541,-0.218064636
aim2linux        ,0.700293048,0.012033387
aime             ,-0.488000532,0.255746723
aime2            ,-0.475477902,0.268664243
aimirc           ,-0.393114517,-0.366724402
aimmath          ,-0.067208107,-0.37923742
aind             ,-0.176557128,0.32645028
ainn             ,-0.68751971,-0.494763319
ainow            ,0.386015906,0.35198083
aipdf            ,0.16679831,0.134429343
aiplanet         ,-0.571141479,-0.285789547
air              ,-0.563088128,-0.288777004
air5023          ,0.894820381,0.339152726
airbomber        ,0.093187808,-0.501176258
airbox           ,-0.134625146,0.409979934
aircert          ,-0.138089016,-0.026498215
aircraft         ,0.185283762,0.039977704
aircraftschedul  ,0.796836243,0.267382173
airfart          ,-0.569538471,-0.530950295
airnet           ,0.652543988,0.024882572
airo-linux       ,0.028457461,-0.181048778
airplanewar      ,0.685746205,-0.012905641
airplay          ,-0.288638783,-0.494855329
airpwn           ,0.690210944,0.522878342
airrox           ,-0.283188798,0.363620514
airt             ,0.077600638,0.159834149
airtraffic       ,-0.27659265,-0.151659248
aisa             ,0.489530315,-0.378487734
aistockbot       ,0.507586057,0.075995462
aivis            ,0.326135766,-0.491847048
aix-pm           ,-0.528123978,0.227775319
ajabberwocky     ,-0.759387322,0.027666819
ajaboard         ,-0.04013583,-0.076909039
ajason           ,-0.4192491,-0.524009425
ajax             ,-0.732382247,0.595788348
ajax-php-form    ,-0.216577005,0.824542837
ajaxanywhere     ,-0.508288545,0.412523712
ajaxcards        ,0.708871706,-0.193902525
ajaxftp          ,0.72447076,0.220806064
ajaxkit          ,0.633177495,0.557713312
ajaxoffice       ,-0.072591562,-0.616708936
ajc-for-eclipse  ,0.026935462,0.566453999
ajdo             ,0.011120847,0.569477501
ajeer            ,0.528705104,0.720416051
ajfork           ,0.730309599,-0.288812167
ajprofiler       ,-0.098900159,0.601523497
ajrdatabase      ,-0.011011049,0.332705431
ajtools          ,0.008892152,0.573834362
ajui             ,0.653044255,0.397045433
aka              ,-0.352618053,-0.507664907
akadav           ,-0.268958906,-0.023448183
akarmi           ,-0.14076516,-0.206222139
akarru           ,-0.458813867,0.589181601
akiles           ,-0.824341735,0.26629888
akiller          ,-0.271739055,-0.165600511
akimasquest      ,0.063317037,0.820369899
akinimod         ,-0.510856472,0.712949013
akire            ,-0.312926261,0.063295169
akismet-java     ,0.157168349,0.755974324
akm              ,0.89804276,-0.292832948
akregator        ,-0.039969106,-0.659609105
akro             ,0.201930524,0.363920842
aksharbodh       ,0.620387947,0.076177628
akt              ,-0.08564733,-0.282926672
akuryou          ,-0.10620205,-0.630993558
al-jwarizmi      ,-0.080071525,-0.296760079
al4java          ,0.762819104,0.480460833
